,"Second Spectrum Physical Summary"
,"Game ID: 2312135"

,,Total,First,Second
,"Game time",101:04,51:06,49:57
,"Effective Playing Time",57:00,29:51,27:08
,"Home EPT",28:25,16:26,11:59
,"Away EPT",28:34,13:24,15:09

ID,Player,Minutes,Distance,Walking,Jogging,Running,"High Speed Running",Sprinting,"No. of High Intensity Runs","Top Speed","Average Speed","Distance TIP","HSR Distance TIP","Sprint Distance TIP","No. of High Intensity Runs TIP","Distance OTIP","HSR Distance OTIP","Sprint Distance OTIP","No. of High Intensity Runs OTIP","Distance BOP","HSR Distance BOP","Sprint Distance BOP","No. of High Intensity Runs BOP"
447080,"Kerstin Casparij",101:04,9955.12,2995.84,3987.36,2263.13,482.06,226.72,77,28.41,5.91,3534.46,169.09,54.47,23,3950.55,260.51,158.5,48,2470.11,52.46,13.75,6
186022,"Ellie Roebuck",101:04,4208.66,2848.79,1169.94,179.25,10.68,0,2,21.19,2.5,1351.93,0,0,0,1588.6,10.68,0,2,1268.13,0,0,0
434287,"Laia Aleixandri",101:04,9914.43,3010.79,4050.7,2282.97,466.21,103.75,50,25.69,5.89,3666.98,106.3,6.25,9,3896.96,279.82,90.24,36,2350.49,80.09,7.26,5
174349,"Chloe Kelly",96:37,9364.44,3565.56,3317.85,1760.36,517.93,202.74,72,28.57,5.81,3163.83,278.42,121.24,36,3823.71,232.46,79.92,34,2376.89,7.04,1.59,2
175128,"Hayley Raso",04:26,499.65,143.46,101.42,192.9,50.91,10.95,8,23.53,6.75,113.74,31.03,10.95,6,157.34,15.74,0,2,228.57,4.14,0,0
96535,"Alex Greenwood",101:04,9252.22,3139.53,3386.86,2179.17,409.82,136.85,65,26.06,5.49,3154.14,115.36,21.97,13,3745.23,256.0,99.8,47,2352.85,38.45,15.08,5
14772,"Steph Houghton",101:04,9447.06,3625.91,3215.53,2098.71,367.06,139.85,49,29.09,5.61,3164.24,83.51,14.44,10,3952.32,258.28,105.3,35,2330.5,25.27,20.11,4
186043,"Lauren Hemp",101:04,9630.13,3591.95,2816.31,2131.27,682.88,407.72,110,28.55,5.72,3358.27,291.51,132.64,41,3842.21,351.53,271.17,66,2429.65,39.83,3.91,3
463306,"Khadija Shaw",101:04,10284.5,3680.3,3230.66,2582.88,600.53,190.14,81,29.47,6.11,3732.62,275.93,125.71,37,4312.78,313.41,56.46,42,2239.1,11.18,7.97,2
191726,"Filippa Angeldahl",101:04,11475.91,2766.38,4615.46,3047.32,808.65,238.09,92,27.92,6.81,4065.36,263.62,102.19,31,4901.62,521.74,135.9,59,2508.93,23.3,0,2
192194,"Yui Hasegawa",101:04,10785.73,2668.33,4416.81,3214.49,426.98,59.11,47,25.61,6.4,3882.38,70.26,2.34,3,4715.3,345.19,56.77,44,2188.05,11.54,0,0
96385,"Laura Coombs",101:04,10701.14,3310.29,3584.68,3055.05,578.78,172.34,75,27.74,6.35,3895.35,204.08,112.9,31,4434.63,351.13,56.08,42,2371.16,23.57,3.37,2


ID,Player,Minutes,Distance,Walking,Jogging,Running,"High Speed Running",Sprinting,"No. of High Intensity Runs","Top Speed","Average Speed","Distance TIP","HSR Distance TIP","Sprint Distance TIP","No. of High Intensity Runs TIP","Distance OTIP","HSR Distance OTIP","Sprint Distance OTIP","No. of High Intensity Runs OTIP","Distance BOP","HSR Distance BOP","Sprint Distance BOP","No. of High Intensity Runs BOP"
174571,"Manuela Zinsberger",101:04,4687.6,3343.02,1012.88,322.73,8.96,0,2,19.52,2.78,1679.02,5.49,0,1,1556.94,3.26,0,1,1451.64,0.21,0,0
97362,"Rafaelle Souza",101:04,9549.34,3110.89,4210.81,1652.6,400.42,174.63,65,28.12,5.67,3634.82,89.77,54.67,14,3796.97,301.3,116.91,49,2117.55,9.35,3.05,2
186025,"Carlotte Wubben-Moy",51:06,4763.24,1495.5,1882.84,1079.33,281.33,24.23,29,23.78,5.59,1701.82,51.76,8.14,9,2228.32,223.56,16.09,19,833.1,6.01,0,1
174345,"Leah Williamson",101:04,8487.84,3381.49,2774.63,1864.71,346.13,120.88,47,27.28,5.04,3224.44,90.49,58.08,18,3380.49,227.54,62.8,28,1882.91,28.1,0,1
165678,"Steph Catley",101:04,10474.88,3088.12,3963.42,2459.34,690.0,274.0,86,27.59,6.22,3941.42,286.22,63.55,34,3932.24,357.5,207.09,50,2601.22,46.29,3.36,2
96380,"Kim Little",101:04,10046.74,3682.01,3152.98,2491.57,516.24,203.95,71,26.45,5.96,3675.27,142.26,30.62,21,4243.95,365.24,173.33,50,2127.53,8.73,0,0
226718,"Frida Maanum",101:04,10710.74,3271.46,3845.27,3004.89,515.7,73.42,52,26.91,6.36,3822.59,210.36,50.48,25,4375.01,256.1,22.17,23,2513.14,49.24,0.77,4
205854,"Noelle Maritz",86:13,8419.77,2579.77,3485.33,1893.78,362.87,98.03,37,25.15,5.86,3053.89,67.08,17.49,9,3290.26,288.45,77.9,27,2075.62,7.34,2.64,1
97094,"Caitlin Foord",51:06,5305.64,1605.13,2080.09,1235.41,307.58,77.42,42,26.65,6.23,1732.31,141.66,47.74,23,2286.27,132.61,25.17,17,1287.05,33.31,4.51,2
444168,"Victoria Pelova",73:59,7674.82,2330.44,2807.87,1927.04,389.46,220.01,67,28.06,6.22,2825.63,177.48,161.41,41,3111.64,172.15,51.35,23,1737.55,39.82,7.25,3
191720,"Stina Blackstenius",86:28,8178.66,2716.85,2995.81,1806.19,409.18,250.64,68,28.93,5.68,3124.73,185.48,218.83,43,3080.81,187.53,22.07,19,1973.12,36.17,9.74,6
112571,"Lia Walti",49:57,5554.28,1527.15,2032.51,1789.98,152.29,52.34,21,27.39,6.67,2264.92,31.8,1.04,6,1918.41,116.8,51.3,15,1370.95,3.69,0,0
192083,"Katie Mccabe",49:57,5351.38,1482.49,1883.68,1527.87,319.25,138.1,47,26.63,6.43,2076.31,134.6,92.27,23,1825.49,176.75,45.82,23,1449.59,7.9,0,1
472186,"Gio Queiroz",14:36,1494.4,457.19,547.34,306.44,99.45,83.98,19,28.47,6.14,580.63,38.0,8.86,7,471.0,41.49,56.05,9,442.77,19.95,19.07,3
505745,"Kathrine Kuhl",27:04,3059.28,768.58,1236.63,723.81,219.73,110.53,34,27.6,6.78,1175.77,60.45,18.98,11,969.98,127.28,91.03,21,913.54,32.0,0.52,2
421118,"Laura Wienroither",14:50,1577.57,409.68,554.46,516.99,64.62,31.82,10,24.7,6.38,665.52,28.01,29.75,8,491.53,34.57,2.08,2,420.53,2.04,0,0
