"Second Spectrum Split Data"
"MCI-W - LEI-WFC : 2022-10-16"
2312152

"Threshold key (km/h)"
"Walking : 7"
"Jogging : 13"
"LowSpeedRunning : 19"
"HighSpeedRunning : 23"
"LowSpeedSprinting : >23"



"Minute Splits",5,10,15,20,25,30,35,40,45,50,55, ,50,55,60,65,70,75,80,85,90,95
"Manchester City WFC (9660)"
"Total Distance",6275.8,2840.21,5521.03,5760.36,4950.66,4759.51,6515.2,5351.96,5325.57,5627.03,31.34,,6133.58,5377.2,3546.85,4753.52,5410.72,4518.54,3297.36,5629.48,5922.18,4083.76
"Walking Distance",1715.42,1485.33,1686.98,1887.92,1716.01,1820.35,1886.22,1919.09,1718.75,1886.91,20.52,,1786.67,1990.96,1460.74,1652.04,1782.73,1871.33,1057.68,1654.1,1825.61,1641.47
"Jogging Distance",2901.92,781.55,1929.07,2424.25,1692.62,1863.92,2738.32,2147.86,1987.82,2157.6,10.83,,2857.15,2277.15,1352.25,1694.35,2166.74,1633.09,1287.01,2003.78,2565.92,1632.29
"Low Speed Running Distance",1324.32,422.46,1391.31,1234.99,1158.65,803.99,1349.94,1005.16,1206.48,1207.87,0.0,,1185.35,932.71,616.05,1095.1,1277.87,806.5,845.46,1355.54,1156.49,602.09
"High Speed Running Distance",266.96,108.69,362.09,174.07,251.2,217.64,355.0,207.57,258.83,279.84,0.0,,212.82,145.74,95.41,233.53,150.2,155.86,96.14,408.69,255.12,139.12
"Sprinting Distance",67.18,42.17,151.56,39.13,132.17,53.61,185.73,72.28,153.67,94.81,0.0,,91.6,30.64,22.41,78.5,33.17,51.77,11.07,207.37,119.04,68.79
"Walking Count",278,79,176,239,135,159,267,209,203,224,2,,286,238,131,154,190,155,98,206,262,169
"Jogging Count",381,106,269,331,213,237,373,276,302,303,1,,382,303,176,217,290,210,151,287,342,220
"Low Speed Running Count",147,44,128,130,104,109,159,112,134,116,0,,143,105,71,100,126,80,73,128,129,76
"High Speed Running Count",29,16,41,21,34,24,41,28,32,29,0,,27,19,11,24,21,21,11,46,28,24
"Sprinting Count",7,3,13,3,11,6,10,4,12,6,0,,5,3,4,4,3,3,1,14,8,6

"Kerstin Casparij (447080)"
"Total Distance",595.89,231.19,553.95,569.23,487.07,462.58,723.88,570.04,500.42,596.78,3.77,,649.78,622.01,336.59,452.89,562.14,498.57,312.38,557.15,569.73,441.15
