"Second Spectrum Split Data"
"MCI-W - BHA : 2022-12-4"
2312183

"Threshold key (km/h)"
"Walking : 7"
"Jogging : 13"
"LowSpeedRunning : 19"
"HighSpeedRunning : 23"
"LowSpeedSprinting : >23"



"Minute Splits",5,10,15,20,25,30,35,40,45,50, ,50,55,60,65,70,75,80,85,90,95
"Manchester City WFC (9660)"
"Total Distance",6756.87,6304.37,5081.23,6306.32,6355.24,5120.36,5495.67,6424.98,4685.27,2396.23,,5926.0,6110.28,4927.85,5389.04,6251.66,5326.3,6525.75,5302.6,5810.31,3081.9
"Walking Distance",1748.13,1744.78,1564.48,1857.2,1864.15,1877.08,1874.56,1918.09,1708.23,832.55,,1560.84,1659.37,1660.56,1706.71,1646.59,1896.29,1687.35,1650.78,1893.15,1158.37
"Jogging Distance",2601.28,2366.76,2103.15,2784.87,2716.72,1874.85,2281.25,2965.61,1912.48,926.53,,2279.21,2675.81,1645.11,2021.06,2510.98,2053.54,2633.36,2006.69,2194.86,951.55
"Low Speed Running Distance",1712.73,1423.57,1143.69,1282.71,1403.54,984.31,1105.19,1221.11,803.03,455.96,,1538.1,1282.85,1208.88,1199.28,1601.15,960.17,1535.29,1183.73,1354.9,680.5
"High Speed Running Distance",481.73,515.48,169.02,291.6,302.72,267.01,184.37,282.55,200.6,70.73,,383.98,425.14,332.15,316.73,352.68,274.73,444.34,303.21,266.18,237.79
"Sprinting Distance",213.01,253.79,100.89,89.94,68.1,117.12,50.31,37.63,60.93,110.45,,163.87,67.12,81.15,145.25,140.25,141.57,225.4,158.19,101.22,53.68
"Walking Count",239,223,180,246,269,166,243,271,165,103,,214,234,163,208,202,205,223,183,220,81
"Jogging Count",369,313,273,358,378,235,339,371,246,149,,315,309,249,301,325,272,337,262,302,124
"Low Speed Running Count",177,149,113,145,155,117,123,151,100,47,,150,129,114,144,150,104,150,122,130,67
"High Speed Running Count",54,52,21,35,32,32,20,37,23,14,,40,37,33,41,40,28,41,33,24,23
"Sprinting Count",14,13,7,8,7,10,3,4,3,5,,7,7,6,11,8,7,11,10,4,4

"Hayley Raso (175128)"
